time,latitude,longitude,depth,mag,magType,id,place
2025-02-26T03:10:20.986Z,0.3078,124.8175,10,4.6,mb,us6000pvif,"45 km ESE of Modisi, Indonesia"
2025-02-26T02:26:36.387Z,-6.0392,145.0195,125.421,4.2,mb,us6000pvia,"5 km ESE of Kundiawa, Papua New Guinea"
2025-02-25T23:22:53.441Z,39.9746,142.6828,35,4.5,mb,us6000pvha,"73 km ENE of Miyako, Japan"
2025-02-25T23:11:13.426Z,0.3058,124.7868,21.947,4.9,mb,us6000pvh5,"42 km ESE of Modisi, Indonesia"
2025-02-25T22:55:44.164Z,0.375,124.9411,10,6.1,mww,us6000pvgx,"56 km E of Modisi, Indonesia"
2025-02-25T21:10:33.967Z,-27.4851,-69.5852,106.446,4.5,mb,us6000pvfy,"74 km E of Copiapó, Chile"
2025-02-25T20:41:15.092Z,-33.3352,-73.0275,10,4.6,mb,us6000pvfs,"134 km W of Cartagena, Chile"
2025-02-25T18:13:50.273Z,2.9679,126.5875,55.967,5.1,mb,us6000pvex,"209 km NW of Tobelo, Indonesia"
2025-02-25T17:43:36.359Z,64.0191,-148.7902,8.2,3.5,ml,ak0252kwh3hq,"15 km E of Ferry, Alaska"
2025-02-25T17:20:15.641Z,-6.9536,130.1082,118.916,4.5,mb,us6000pvdi,Banda Sea
2025-02-25T16:49:29.400Z,19.5078,-68.1338,7,3.56,md,pr2025056009,"106 km NNE of Punta Cana, Dominican Republic"
2025-02-25T16:41:54.472Z,-17.9698,-178.3609,613.814,4.2,mb,us6000pvda,"246 km E of Levuka, Fiji"
2025-02-25T16:22:56.240Z,19.5298,-68.1135,54,3.93,md,pr2025056008,"109 km NNE of Punta Cana, Dominican Republic"
2025-02-25T15:59:39.531Z,2.8661,125.5788,133.548,4.9,mww,us6000pvd1,"165 km NNE of Bitung, Indonesia"
2025-02-25T15:59:07.765Z,53.5473,-160.0265,2.321,4.2,mb,us6000pvcz,"201 km S of Sand Point, Alaska"
2025-02-25T15:02:19.830Z,19.26733333,-68.20683333,8.05,3.37,md,pr71473623,"78 km NNE of Punta Cana, Dominican Republic"
2025-02-25T14:54:16.957Z,-24.0133,-67.1309,233.208,4.3,mb,us6000pvcm,"85 km WNW of San Antonio de los Cobres, Argentina"
2025-02-25T13:39:34.023Z,-22.3866,-179.6291,577.596,5.2,mww,us6000pvca,south of the Fiji Islands
2025-02-25T13:30:39.020Z,-23.5003,-174.81,10,4.8,mb,us6000pvc9,"239 km S of ‘Ohonua, Tonga"
